circuit,attack_type,noise_rate,num_qubits,original_depth,modified_depth,original_gates,modified_gates,tvd,prediction,anomaly_probability,risk_score,risk_level,status
adder_n10.qasm,normal,0.005,,,,,,,,,,,FAILED: 'unknown instruction: majority'
adder_n10.qasm,gate_insertion,0.005,,,,,,,,,,,FAILED: 'unknown instruction: majority'
adder_n10.qasm,gate_deletion,0.005,,,,,,,,,,,FAILED: 'unknown instruction: majority'
adder_n10.qasm,gate_substitution,0.005,,,,,,,,,,,FAILED: 'unknown instruction: majority'
adder_n10.qasm,multiple_gate_insertion,0.005,,,,,,,,,,,FAILED: 'unknown instruction: majority'
adder_n10.qasm,normal,0.01,,,,,,,,,,,FAILED: 'unknown instruction: majority'
adder_n10.qasm,gate_insertion,0.01,,,,,,,,,,,FAILED: 'unknown instruction: majority'
adder_n10.qasm,gate_deletion,0.01,,,,,,,,,,,FAILED: 'unknown instruction: majority'
adder_n10.qasm,gate_substitution,0.01,,,,,,,,,,,FAILED: 'unknown instruction: majority'
adder_n10.qasm,multiple_gate_insertion,0.01,,,,,,,,,,,FAILED: 'unknown instruction: majority'
adder_n10.qasm,normal,0.02,,,,,,,,,,,FAILED: 'unknown instruction: majority'
adder_n10.qasm,gate_insertion,0.02,,,,,,,,,,,FAILED: 'unknown instruction: majority'
adder_n10.qasm,gate_deletion,0.02,,,,,,,,,,,FAILED: 'unknown instruction: majority'
adder_n10.qasm,gate_substitution,0.02,,,,,,,,,,,FAILED: 'unknown instruction: majority'
adder_n10.qasm,multiple_gate_insertion,0.02,,,,,,,,,,,FAILED: 'unknown instruction: majority'
adder_n10.qasm,normal,0.03,,,,,,,,,,,FAILED: 'unknown instruction: majority'
adder_n10.qasm,gate_insertion,0.03,,,,,,,,,,,FAILED: 'unknown instruction: majority'
adder_n10.qasm,gate_deletion,0.03,,,,,,,,,,,FAILED: 'unknown instruction: majority'
adder_n10.qasm,gate_substitution,0.03,,,,,,,,,,,FAILED: 'unknown instruction: majority'
adder_n10.qasm,multiple_gate_insertion,0.03,,,,,,,,,,,FAILED: 'unknown instruction: majority'
adder_n10.qasm,normal,0.04,,,,,,,,,,,FAILED: 'unknown instruction: majority'
adder_n10.qasm,gate_insertion,0.04,,,,,,,,,,,FAILED: 'unknown instruction: majority'
adder_n10.qasm,gate_deletion,0.04,,,,,,,,,,,FAILED: 'unknown instruction: majority'
adder_n10.qasm,gate_substitution,0.04,,,,,,,,,,,FAILED: 'unknown instruction: majority'
adder_n10.qasm,multiple_gate_insertion,0.04,,,,,,,,,,,FAILED: 'unknown instruction: majority'
adder_n10.qasm,normal,0.05,,,,,,,,,,,FAILED: 'unknown instruction: majority'
adder_n10.qasm,gate_insertion,0.05,,,,,,,,,,,FAILED: 'unknown instruction: majority'
adder_n10.qasm,gate_deletion,0.05,,,,,,,,,,,FAILED: 'unknown instruction: majority'
